Question,Answer,Option,Predicted_ans,Explanation
1. The objectives of the EU Directive on mediation is:,d,"['a) Reducing backlogs of cases at the courts in the member states', 'b) Dividing the cases between all the dispute resolution methods', 'c) Economical reasons in times of crisis, thus ensuring that mediators will have a better a proper income.', 'd) Ensuring better access to alternative dispute resolution in cross-border commercial conflicts.']",d) Ensuring better access to alternative dispute resolution in cross-border commercial conflicts.,The main aim of the EU Directive on mediation is to facilitate access to alternative dispute resolution and to promote the amicable settlement of disputes by encouraging the use of mediation.
"2. Fulfilling the constitutional obligation under Article 300 A, the Land Acquisition Act, is the law providing for",d,"['a) Acquisition of land and taking over the possession of land', 'b) Assessment of compensation', 'c) Payment of compensation', 'd) All of the above']",d) All of the above.,"The Land Acquisition Act provides for acquisition of land and taking over possession, assessment of compensation, and payment of compensation fulfilling the constitutional obligation under Article 300A."
3. Minto- Morley reform is associated to which act?,d,"['a) Indian Councils Act 1912', 'b) Indian Councils Act 1856', 'c) Indian Councils Act 1908', 'd) Indian councils Act 1909']",d) Indian councils Act 1909.,"Minto-Morley Reforms, also known as the Indian Councils Act 1909, introduced separate electorates based on religion for the first time."
4. Vikramaditya vs. Smt. Jamila Khatoon is an important case relating to professional misconduct due to which factor,d,"['a) Advocate attending the court with the fire arms', 'b) Not appearing before the court deliberately and intentionally', 'c) Suppression of material facts with the intention to harass poor persons', ""d) Defrauding the client by exploiting the client's illiteracy""]",c) Suppression of material facts with the intention to harass poor persons.,"In the case of Vikramaditya vs Smt. Jamila Khatoon, the advocate was found guilty of professional misconduct for suppressing material facts to harass individuals."
"5. Where the complaint alleges a defect in the goods which cannot be determined without proper analysis or the test of the goods, the sample of the goods forwarded to appropriate laboratory for the laboratory test. Such types of cases finding report within _______ days",c,"['a) 30 days', 'b) 40 days', 'c) 45 days', 'd) 60 days']",d) 60 days.,"As per the Consumer Protection Act, when a complaint alleges a defect in the goods, the sample is sent to an appropriate laboratory for testing, and the report should be submitted within 60 days."
6. Which section of the Indian evidence Act is based on English doctrine of Res Gestae,b,"['a) 5', 'b) 6', 'c) 7', 'd) 8']",b) 6.,"Section 6 of the Indian Evidence Act is based on the doctrine of Res Gestae, which refers to statements made spontaneously or immediately after an event and are considered trustworthy and reliable for admission as evidence."
7. The various words used to denote Mens Rea under the IPC and are defined in the code,a,"['a) Voluntary, dishonestly, fraudulently & reason to believe', 'b) Corruptly and want only', 'c) Malignantly and maliciously', 'd) Rashly and negligently']","a) Voluntary, dishonestly, fraudulently & reason to believe.",These terms used in the IPC to denote Mens Rea (criminal intent) are indeed defined in the Code.
"8. Under section 25 of the Land Acquisition Act, the amount of compensation awarded by the court",a,"['a) Shall not be less that the amount awarded by the collector under section II', 'b) Shall not be equal to the amount awarded by the collector under section II', 'c) Shall not be more than the amount awarded by the collector under section II', 'd) All of the above']",a) Shall not be less that the amount awarded by the collector under section II.,Section 25 of the Land Acquisition Act restricts the court from awarding compensation less than the amount awarded by the collector under section 11.
"9. A Hindu's widow, if there are more than one, shall take",d,"['a) One share', 'b) One share for all the windows', 'c) One share each of the maximum of two shares, if there are more than two widows', 'd) None of the above']",b) One share for all the windows.,"As per Hindu Succession Act, if a man dies intestate, his widow, or if there are more than one, all the widows together, get one share."
"10. In joint trial, the evidentiary value of confession of a co-accused affecting himself and others, has been discussed by the supreme court in",a,"['a) Kashmira singh vs. State of MP', 'b) State of up vs Deoman upadhyay', 'c) Ram bharose vs state of up', 'd) Rameshwar vs state of rajasthan']",a) Kashmira singh vs. State of MP.,"In the case of Kashmira Singh vs. State of MP, the Supreme Court held that the confession of a co-accused can be taken into account if the confession affects the person making it and the other co-accused, provided the co-accused had the opportunity to cross-examine the confessor."
