Question,Options,Unprompted_prediction,Ground truth,Score
1. Section 66A of Information Technology Act was held unconstitutional in the case of,"['a) Justice K. S. Putta swamy Vs Union of India', 'b) M P Sharma Vs Satish Chandra', 'c) Shreya Singhal Vs Union Of India', 'd) Gagan Harsh Sharma Vs The State of Maharashtra']",d) Gagan Harsh Sharma Vs The State of Maharashtra,c,0
"2. A Teacher is not a workman within the purview of Industrial Disputes Act, held in the case of","['a) The Workmen Vs Greaves Cotton & Co. Ltd. & Ors', 'b) John Joseph Khokar Vs Bhadange B. S. & ors', 'c) A. Sundarambal Vs Government of Goa', 'd) Dinesh Sharma and Ors. Vs State of Bihar']",d) Dinesh Sharma and Ors. Vs State of Bihar,c,0
3. According to Factories Act,"['a) ""child"" means a person who has not completed his fifteenth year of age;', 'b) ""child"" means a person who has not completed his fourteenth year of age', 'c) ""child"" means a person who has not completed his eighteenth year of age', 'd) ""child"" means a person who has not completed his sixteenth year of age']","a) ""child"" means a person who has not completed his fifteenth year of age",a,1
4. The UNCITRAL Model Law and Rules do not become part of the Arbitration Act so as to become an aid to construe the provisions of the Act.-held in the case of,"['a) Union of India Vs East Coast Boat Builders and Engineers Ltd.,', 'b) Union of India Vs M.C. Mehta', 'c) Tata Press Ltd Vs Union of India', 'd) Union of India Vs Indian Change Chrome Ltd']",The UNCITRAL Model Law and Rules do not become part of the Arbitration Act so as to become an aid to construe the provisions of the Act.,a,0
"5. According to Section 7(4) of the Arbitration and Conciliation Act, an arbitration agreement is in writing if it is contained in—","['a) a document signed by the parties;', 'b) an exchange of letters, telex, telegrams or other means of telecommunication which provide a record of the agreement;', 'c) an exchange of statements of claim and defence in which the existence of the agreement is alleged by one party and not denied by the other.', 'd) All of the above']",c) an exchange of statements of claim and defence in which the existence of the agreement is alleged by one party and not denied by the other.,d,0
6. Waiver of right to object deviance from arbitration agreement is mentioned under --------- of the Arbitration and Conciliation Act,"['a) Section 7', 'b) Section 4', 'c) Section 20', 'd) Section 22']",a) Section 7,b,0
"7. A intentionally and falsely leads B to believe that certain land belongs to A, and thereby induces B to buy and pay for it. The land afterwards becomes the property of A, and A seeks to set aside the sale on the ground that, at the time of the sale, he had no title. He will not be allowed to prove his want of title.- Which Section of the Evidence Act is applicable?","['a) Section 92', 'b) Section 124', 'c) Section 115', 'd) Section 101']",c) Section 115,c,1
8. The Arbitration Act 1996 repeals,"['a) The Arbitration Act, 1940,', 'b) The Arbitration (Protocol and Convention) Act, 1937', 'c) the Foreign Awards (Recognition and Enforcement) Act, 1961.', 'd) All of the above']","The Arbitration Act 1996 repeals the Arbitration (Protocol and Convention) Act, 1937.",d,0
"9. Section 265A to 265L, Chapter XXIA of the Criminal Procedure Code deals with the concept of","['a) Unlawful Assembly', 'b) Arrest without warrant', 'c) search and seizures', 'd) Plea bargaining']",d) Plea bargaining,d,
10. Security for good behaviour from habitual offenders is dealt under,"['a) Section 109 of Cr.P.C.', 'b) Section 110 of Cr.P.C', 'c) Section 111 of Cr.P.C.', 'd) None of the above']",Answer: 'c) Section 111 of Cr.P.C.',b,0
