Question,Options,Unprompted_prediction,prompted_output_t1,prompted_output_t2
1. How many kinds of presumptions are there as classified by the Supreme Court?,"['a) Permissive presumptions or presumptions of facts', 'b) Compelling presumptions or presumptions of law (rebuttable presumptions)', 'c) Irrebuttable presumptions of law or conclusive presumptions.', 'd) All of them']",Answer: 'a) Permissive presumptions or presumptions of fact',Option 'c) Irrebuttable presumptions of law or conclusive presumptions.',Option ['a) Permissive presumptions or presumptions of facts'].
2. What is the leading decision in the case of Menaka Gandhi Vs Union of India?,"['a) Right of hearing', 'b) Separation of powers', 'c) Delegated legislation', 'd) Rule of evidence']",c) Delegated legislation,Option ['a) Right of hearing'].,Option ['a) Right of hearing'].
3. Advocate's act 1961 came into force on:,"['a) 19th May, 1961', 'b) 19th April, 1961', 'c) 1st May, 1961', 'd) 19th January, 1961']","a) 19th May, 1961","Option 'b) 19th April, 1961'.","Option ['a) 19th May, 1961']."
"4. Harbouring an offender who has escaped from custody, or whose apprehension has been ordered, if the offence be capital is dealt under","['a) Section 215 of IPC', 'b) Section 216 of IPC', 'c) Section 217 of IPC', 'd) Section 218 of IPC']",a) Section 215 of IPC,Option ['a) Section 215 of IPC'],Option ['d) Section 218 of IPC']
5. The maxim 'actus not facit reum nisi mens sit rea' means,"['a) There can be no crime without a guilty mind', 'b) Crime has to be coupled with guilty mind', 'c) Crime is the result of guilty mind', 'd) In crime intention is relevant, motive is irrelevant']",d,"Option 'd) In crime intention is relevant, motive is irrelevant'.",Option 'c) Crime is the result of guilty mind'.
6. Law laid down under section -73 of Indian Contract Act 1872 is related to which of the following cases:,"['a) Hothester Vs De-la-tur', 'b) Rabinson Vs Devison', 'c) Hedley Vs Baxendal', 'd) Dikinson Vs Dads']",a) Hothester Vs De-la-tur,Option 'a) Hothester Vs De-la-tur'.,Option 'b) Rabinson Vs Devison'.
"7. The Hindu Marriage Act, 1955 ________ petition in which a decree of restitution of conjugal rights has been passed to apply to the court for a decree for divorce by showing that there has been no restitution of conjugal rights as between parties of marriage for a period of one year or upwards after passing of the decree.","['a) Does not permit any party to that', 'b) Does not permit the party against whom the', 'c) Does permit any party to that', 'd) Does permit any person related to either party to that']",a) Does not permit any party to that,Option 'd) Does permit any person related to either party to that'.,Option 'd) Does permit any person related to either party to that'.
"8. The offences under the Prohibition of Child Marriage Act, 2006 are ______.","['a) Cognizable and bailable', 'b) Non cognizable and non-bailable', 'c) Cognizable and non-bailable', 'd) Non cognizable and bailable']",Answer: 'c) Cognizable and non-bailable',Option 'c) Cognizable and non-bailable'.,Option ['a) Cognizable and bailable'].
"9. In case of land acquisition by the Central Government for public-private partnership projects, consent of how many affected families is mandated by the LARR Act?","['a) 60%', 'b) 70%', 'c) 80%', 'd) 90%']",a) 60%,Option 'b) 70%'.,Option 'b) 70%'.
10. A company which is not a domestic company will pay income tax at the rate of:-,"['a) 25 %', 'b) 30%', 'c) 40%', 'd) 20%']",a) 25 %,Option 'c) 40%'.,Option 'c) 40%'.
"11. As per section 53 of IPC, the word ""injury"" denotes any harm whatever illegally caused to any person's","['a) Body', 'b) Mind', 'c) Reputation', 'd) All above']",a) Body,Option ['a) Body'],Option ['a) Body'].
"12. Which of the following cases can be cured under section 465 of the code of criminal procedure, 1973?","['a) Entertaining of complaint without complying with section 195 and 340 of the Cr.P.C', 'b) The reading and recording of the evidence taken in one case into another companion case', 'c) The examination of witness in absence of the accused', 'd) Non Compliance with 235(2)']",Answer: 'c) The examination of witness in absence of the accused',Option 'd) Non Compliance with 235(2)'.,Option 'd) Non Compliance with 235(2)'.
13. Which of the following statements hold true for de nova trials?,"['a) Omission or illegality in the procedure even if it does not affect the core of the case can become a ground for calling de nova trials', 'b) A de nova trial should be the last resort', 'c) the court originally trying the case can order de nova trial', 'd) None of these']",Answer: 'c) the court originally trying the case can order de nova trial',Option ['a) Omission or illegality in the procedure even if it does not affect the core of the case can become a ground for calling de nova trials'].,Option ['a) Omission or illegality in the procedure even if it does not affect the core of the case can become a ground for calling de nova trials'].
14. Protection against arrest and detention in certain cases is mentioned in which of the following Articles of Indian Constitution?,"['a) Article 21', 'b) Article 21A', 'c) Article 22', 'd) Article 22A']",c) Article 22,Option ['a) Article 21'].,Option ['a) Article 21'] as it deals with protection against arrest and detention.
15. Article 300A of Indian Constitution i.e. Right to property has been inserted in the Constitution by ______,"['a) 44th Amendment Act', 'b) 42nd Amendment Act', 'c) 40th Amendment Act', 'd) 51st Amendment Act']",a) 44th Amendment Act,Option ['a) 44th Amendment Act'].,Option ['a) 44th Amendment Act'].
"16. Which of the following sections of the Muslim Personal Law (Shariat) Application Act, 1937 have been repealed/ amended by section 6 of the Dissolution of Muslim Marriage Act, 1939?","['a) Section 4', 'b) Section 5', 'c) Section 6', 'd) Section 7']",a) Section 4,Option 'c) Section 6'.,Option 'c) Section 6'.
17. A Railway servant was killed in a bus accident during the course of employment. His family members may claim compensation under,"['a) The Motor Vehicle Act', 'b) The Employees Compensation Act, 1923', 'c) Both (a) and (b)', 'd) Either under (a) OR under (b)']",d) Either under (a) OR under (b),Option ['a) The Motor Vehicle Act'].,Option ['a) The Motor Vehicle Act'].
"18. ""Casting Couch"" in Bollywood, the Indian film industry, is an example of","['a) sexual assault', 'b) sexual harassment', 'c) both (a) and (b)', 'd) None of the above']",a) sexual assault,Option ['d) None of the above'].,Option ['d) None of the above'].
19. Promissory estoppel against Government agencies is decided in:,"['a) Tweedle Vs Atkinson', 'b) Dutton Vs Poole', 'c) Pournami all Mills Vs State of Kerala', 'd) Kedar Nath Vs Gauri Mohamad']",a) Tweedle Vs Atkinson,Option 'b) Dutton Vs Poole'.,Option ['a) Tweedle Vs Atkinson']
20. Frustration of contract is provided by which section of the India contract Act?,"['a) Sec. 73', 'b) Sec. 70', 'c) Sec. 2(d)', 'd) Sec. 56']",Answer: 'c) Sec. 2(d),Option 'c) Sec. 2(d)'.,Option ['a) Sec. 73']
21. Schedule II of the Employees Compensation Act 1923 deals with,"['a) Age factor for calculating the amount of compensation', 'b) List of persons who are included in the definition of ""Employee\'', 'c) List of occupational diseases', 'd) List of injuries Deemed to Result in Permanent Total Disablement']",d) List of injuries Deemed to Result in Permanent Total Disablement,Option 'd) List of injuries Deemed to Result in Permanent Total Disablement'.,Option ['d) List of injuries Deemed to Result in Permanent Total Disablement']
"22. Reference to the Arbitration is provided in which section of the Arbitration and Conciliation Act, 1996","['a) Section 7', 'b) Section 8', 'c) Section 9', 'd) Section 10']",a) Section 7,Option 'c) Section 9'.,Option 'c) Section 9'.
"23. Under the head subsequent conduct, which of the following type of conduct would be material?","['a) Change of life', 'b) Evasion of justice', 'c) Fear, trembling', 'd) All of them']",a) Change of life,Option ['a) Change of life'].,Option ['a) Change of life'].
"24. A plaint has to be presented to the Court under Order IV, Rule 1 in ","['a) Single copy ', 'b) Duplicate ', 'c) Triplicate ', 'd) No fixed rule ']","Question 24. A plaint has to be presented to the Court under Order IV, Rule 1 in ['a) Single copy ', 'b) Duplicate ', 'c) Triplicate ', 'd) No fixed rule ']",Option 'c) Triplicate'.,Option 'b) Duplicate '.
25. Omission to give notice under Order XXI. Rule 22 will ,"['a) Render the execution null and void ', 'b) Render the execution irregular ', 'c) Render the execution voidable ', 'd) Not affect the execution ']",a) Render the execution null and void,Option 'c) Render the execution voidable'.,Option ['a) Render the execution null and void.
"26. Where a decree is passed against the Union of India or State for the Act done in the official capacity of the person concerned, under section 82 CPC, execution, shall not be issued on any such decree unless the decree remains unsatisfied for a period of ","['a) 3 months from the date of decree ', 'b) 6 months from the date of the decree ', 'c) 1 year from the date of the decree ', 'd) 2 years from the date of decree']",a) 3 months from the date of the decree,Option 'b) 6 months from the date of the decree'.,Option 'b) 6 months from the date of the decree'.
27. Freedom of Residence under Article 19 of that Indian Constitution is available in which of the following clauses?,"['a) Clause (1) (E)', 'b) Clause (1) (D)', 'c) Clause (1) (B)', 'd) Clause (1) (C)']",a) Clause (1) (E),Option ['a) Clause (1) (E)'],Option ['a) Clause (1) (E)'] as it is the first clause in the list that deals with freedom of residence.
"28. Under which section of the Evidence Act, admissions are defined?","['a) 17', 'b) 16', 'c) 15', 'd) 18']",a) 16,Option ['a) 17'].,Option ['a) 17'].
29. In which of the following cases the Supreme Court has held that the investigating officer should be allowed to refer to the records of investigation,"['a) State of Karnataka Vs Yarappa Reddi', 'b) Mohammed Khalid Vs State of West Bengal', 'c) Baburam Vs State of U.P.', 'd) State of Rajasthan Vs Om prakash']",a) State of Karnataka Vs Yarappa Reddi,Option ['a) State of Karnataka Vs Yarappa Reddi'].,Option ['a) State of Karnataka Vs Yarappa Reddi'].
30. Recovery of Specific Immovable Property may be obtained by C.P.C within what period,"['a) Within 7 months', 'b) Within 6 months', 'c) Within 8 months', 'd) Within 10 months']",a) Within 7 months,Option 'c) Within 8 months'.,Option 'c) Within 8 months'.
31. Who appoints the Commissioner for rehabilitation and resettlement under the LARR Act?,"['a) LARR Authority', 'b) Minister of Environment and Forests', 'c) Central Government', 'd) State Government']",a) LARR Authority,Option ['a) LARR Authority'].,Option ['a) LARR Authority'].
"32. If a party who obtained an order for leave to amend pleading does not amend the same within how many days, he shall not be permitted to do that without the leave of the Court","['a) Fifteen days', 'b) Fourteen days', 'c) Twenty days', 'd) Thirty days']",a) Fifteen days,Option ['a) Fifteen days'],Option ['a) Fifteen days']
33. Punishment of advocates for misconduct has been given under section of the Advocate's Act - 1961,"['a) 30', 'b) 32', 'c) 35', 'd) None']",a) 30,Option 'c) 35'.,Option ['a) 30'].
"34. Under which Section of IPC, Professional Negligence is often invoked against medical professionals in cases alleging professional negligence?","['a) 303A', 'b) 304A', 'c) 302', 'd) 305']",a) 303A,Option 'c) 302'.,Option 'c) 302'.
"35. A offers a bribe to B, a public servant, as a reward for showing A some favour in the exercise of B's official functions. B accepts the bribe ","['a) A has abetted the offence define in Section 160, IPC ', 'b) A has abetted the offence define in Section 161, IPC ', 'c) A has abetted the offence define in Section 162, IPC ', 'd) A has abetted the offence define in Section 163, IPC ']","Options ['a) A has abetted the offence define in Section 160, IPC ', 'b) A has abetted the offence define in Section 161, IPC ', 'c) A has abetted the offence define in Section 162, IPC ', 'd) A has abetted the offence define in Section 163, IPC ']","Option 'd) A has abetted the offence defined in Section 163, IPC '.","Option 'a) A has abetted the offence defined in Section 160, IPC'."
36. When Perpetual Injunction may be granted ,"['a) Where the defendant is trustee of the Property for the plaintiff. ', 'b) Where there is no standard for ascertaining the actual damage. ', 'c) Compensation in money would not afford adequate relief. ', 'd) All of the above. ']",a) Where the defendant is trustee of the property for the plaintiff.,Option ['d) All of the above. '],Option ['d) All of the above. ']
37. A company wishes to ensure that no one else can use their logo.,"['a) Copy rights ', 'b) Trade mark ', 'c) Patent ', 'd) Industrial designs ']",c) Patent,Option 'c) Patent'.,Option ['a) Copy rights '] as it is the only one that specifically addresses intellectual property rights.
"38. The Section of the Arbitration and Conciliation Act, dealing with the time of commencement of arbitral proceeding is ","['a) Section 20 ', 'b) Section 21 ', 'c) Section 22 ', 'd) None of the above ']",a) Section 20,Option 'c) Section 22'.,Option ['a) Section 20 ']
39. Amount of deduction under section 24 of The Income Tax Act from annual value is — ,"['a) 1/2 of Annual Value ', 'b) 1/3 of Annual Value ', 'c) 3/10 of Annual Value ', 'd) 17/10 of Annual Value']",a) 1/2 of Annual Value,Option 'd) 17/10 of Annual Value'.,Option 'd) 17/10 of Annual Value'.
40. The test of reasonableness is not wholly _______ test and its contours are Fairley indicated by constitution.,"['a) Subjective', 'b) Objective', 'c) Descriptive', 'd) Summative']",a) Subjective,Option 'd) Summative'.,Option ['b) Objective'].
41. The power to enact a law relating to the citizenship of India is left to ______ under the provisions of Article 11 of the Indian Constitution.,"['a) President', 'b) Council of ministers', 'c) House of people', 'd) Parliament']",Answer: 'c) House of people',Option 'c) House of people'.,Option ['a) President'].
42. The payment of compensation to railway employees by the railway administration for injury by accident is governed by:,"['a) The Employees Compensation Act, 1923', 'b) The payment of Wages Act, 1936', 'c) Rights of Persons with Disabilities Act, 2016', 'd) The Workmen Compensation Act, 1986']","a) The Employees Compensation Act, 1923","Option 'd) The Workmen Compensation Act, 1986'.","Option ['The Workmen Compensation Act, 1986']."
"43. The minimum amount of compensation payable under Employees Compensation Act, 1923 in case of total permanent disablement of a railway servant due to accident is Rs .","['a) Rs 80,000/-', 'b) Rs 90,000/-', 'c) Rs 1,40,000/-', 'd) Rs 1,20,000/-']","a) Rs 80,000/-","Option 'b) Rs 90,000/-'.","Option 'b) Rs 90,000/-'."
44. The Bond under section 109 Cr.P.C as security for good behaviour from suspected person can be executed for a period not exceeding:,"['a) Six months', 'b) Two years', 'c) One year', 'd) Three months']",a) Six months,Option 'c) One year'.,Option 'c) One year'.
45. The maximum limit of Rs. 500 that could be paid to the wife as maintenance under Section 125 of the Cr.P.C 1973 was removed in:,"['a) 1973', 'b) 1989', 'c) 2001', 'd) 2007']",a) 1973,Option 'c) 2001'.,Option 'c) 2001'.
"46. The term ""WIPO"" stands for:","['a) World Investment policy organization', 'b) World intellectual property organization', 'c) Wildlife Investigation and Policing organization', 'd) World institute for Prevention of organized crime']",a) World Investment policy organization,Option ['a) World Investment policy organization'].,Option ['a) World Investment policy organization'].
47. Provisions of Section 10 of CPC are:,"['a) Directory', 'b) Mandatory', 'c) None- Mandatory', 'd) Discretionary']",a) Directory,Option ['a) Directory'].,Option ['a) Directory'].
48. Constructive res-judicata is contained in which of the following?,"['a) Explanation III to Section 11', 'b) Explanation IV to Section 11', 'c) Explanation VI to Section 11', 'd) Explanation VIII to Section 11']",d) Explanation VIII to Section 11,Option ['a) Explanation III to Section 11'].,Option ['a) Explanation III to Section 11'].
49. The famous pronouncement of Delhi High Court regarding constitutional validity of section 377 Indian Penal Code reversed by Supreme Court in:,"['a) NALSA Vs Union of India', 'b) Naz Foundation Vs Government of NCT of Delhi', 'c) Shabnam Hasmi Vs Union of India', 'd) Suresh Kaushal Vs Naz Foundation.']",d) Suresh Kaushal Vs Naz Foundation.,Option ['a) NALSA Vs Union of India'].,Option ['a) NALSA Vs Union of India'].
"50. Under Criminal procedure Code 1973, who shall record the information of rape being given by a rape victim?","['a) Officer in-charge of the police station ', 'b) Deputy Superintendent of police ', 'c) Officer not below the rank of Sub Inspector ', 'd) Woman police officer or any Woman officer ']",Answer: 'c) Officer not below the rank of Sub Inspector',Option 'c) Officer not below the rank of Sub Inspector'.,Option ['a) Officer in-charge of the police station ']
"51. Under the provision of the code of criminal procedure, 1973 ","['a) Summons can be oral ', 'b) Summons cannot be served on corporate entities ', 'c) Summons are either for appearance or for producing a document/thing ', 'd) Summons can be served to servants in case the person on whose name summons are made cannot be found ']",a) Summons can be oral,Option 'd) Summons can be served to servants in case the person on whose name summons are made cannot be found'.,Option 'd) Summons can be served to servants in case the person on whose name summons are made cannot be found'.
"52. Every person who is a member or a defence service or hold a any civil post under the Union, holds office during the pleasure of the _______","['a) Prime Minister ', 'b) President ', 'c) Council of Minister ', 'd) Both (A) and (B)']",Answer: 'd) Both (A) and (B),Option ['a) Prime Minister '].,Option ['a) Prime Minister ']
53. An arbitration proceeding is a:,"['a) Judicial proceeding ', 'b) Quasi-judicial proceeding ', 'c) Administrative proceeding ', 'd) None of the above']",a) Judicial proceeding,Option ['a) Judicial proceeding '].,Option ['a) Judicial proceeding '].
