Question,Options,Ground truth,text-davinci-003_Answer,davinci_score,Unprompted_Falcon_prediction,Falcon_Score
1. Section 66A of Information Technology Act was held unconstitutional in the case of,"['a) Justice K. S. Putta swamy Vs Union of India', 'b) M P Sharma Vs Satish Chandra', 'c) Shreya Singhal Vs Union Of India', 'd) Gagan Harsh Sharma Vs The State of Maharashtra']",c,Answer: c) Shreya Singhal Vs Union Of India,1,d) Gagan Harsh Sharma Vs The State of Maharashtra,0
"2. A Teacher is not a workman within the purview of Industrial Disputes Act, held in the case of","['a) The Workmen Vs Greaves Cotton & Co. Ltd. & Ors', 'b) John Joseph Khokar Vs Bhadange B. S. & ors', 'c) A. Sundarambal Vs Government of Goa', 'd) Dinesh Sharma and Ors. Vs State of Bihar']",c,a) The Workmen Vs Greaves Cotton & Co. Ltd. & Ors,0,d) Dinesh Sharma and Ors. Vs State of Bihar,0
3. According to Factories Act,"['a) ""child"" means a person who has not completed his fifteenth year of age;', 'b) ""child"" means a person who has not completed his fourteenth year of age', 'c) ""child"" means a person who has not completed his eighteenth year of age', 'd) ""child"" means a person who has not completed his sixteenth year of age']",a,"Answer: d) ""child"" means a person who has not completed his sixteenth year of age",0,"a) ""child"" means a person who has not completed his fifteenth year of age",1
4. The UNCITRAL Model Law and Rules do not become part of the Arbitration Act so as to become an aid to construe the provisions of the Act.-held in the case of,"['a) Union of India Vs East Coast Boat Builders and Engineers Ltd.,', 'b) Union of India Vs M.C. Mehta', 'c) Tata Press Ltd Vs Union of India', 'd) Union of India Vs Indian Change Chrome Ltd']",a,a) Union of India Vs East Coast Boat Builders and Engineers Ltd.,1,The UNCITRAL Model Law and Rules do not become part of the Arbitration Act so as to become an aid to construe the provisions of the Act.,0
"5. According to Section 7(4) of the Arbitration and Conciliation Act, an arbitration agreement is in writing if it is contained in—","['a) a document signed by the parties;', 'b) an exchange of letters, telex, telegrams or other means of telecommunication which provide a record of the agreement;', 'c) an exchange of statements of claim and defence in which the existence of the agreement is alleged by one party and not denied by the other.', 'd) All of the above']",d,Answer: d) All of the above,1,c) an exchange of statements of claim and defence in which the existence of the agreement is alleged by one party and not denied by the other.,0
6. Waiver of right to object deviance from arbitration agreement is mentioned under --------- of the Arbitration and Conciliation Act,"['a) Section 7', 'b) Section 4', 'c) Section 20', 'd) Section 22']",b,Answer: d) Section 22,0,a) Section 7,0
"7. A intentionally and falsely leads B to believe that certain land belongs to A, and thereby induces B to buy and pay for it. The land afterwards becomes the property of A, and A seeks to set aside the sale on the ground that, at the time of the sale, he had no title. He will not be allowed to prove his want of title.- Which Section of the Evidence Act is applicable?","['a) Section 92', 'b) Section 124', 'c) Section 115', 'd) Section 101']",c,b) Section 124,0,c) Section 115,1
8. The Arbitration Act 1996 repeals,"['a) The Arbitration Act, 1940,', 'b) The Arbitration (Protocol and Convention) Act, 1937', 'c) the Foreign Awards (Recognition and Enforcement) Act, 1961.', 'd) All of the above']",d,d) All of the above,1,"The Arbitration Act 1996 repeals the Arbitration (Protocol and Convention) Act, 1937.",0
"9. Section 265A to 265L, Chapter XXIA of the Criminal Procedure Code deals with the concept of","['a) Unlawful Assembly', 'b) Arrest without warrant', 'c) search and seizures', 'd) Plea bargaining']",d,Answer: c) Search and Seizures,0,d) Plea bargaining,
10. Security for good behaviour from habitual offenders is dealt under,"['a) Section 109 of Cr.P.C.', 'b) Section 110 of Cr.P.C', 'c) Section 111 of Cr.P.C.', 'd) None of the above']",b,Answer: a) Section 109 of Cr.P.C.,0,Answer: 'c) Section 111 of Cr.P.C.',0
"11. X,Y, Z jointly promise to pay A an amount of Rs. 50,000/- Subsequently X,Y became untraceable. Can A compel Z to pay ?","['a) A can, under Section 43 para 1', 'b) A can under Section 49 para 1', 'c) A cannot and will have to wait till X,Y become traceable', 'd) Z can be compelled only for one third']",a,"Answer: a) A can, under Section 43 para 1",1,"Options ['a) A can, under Section 43 para 1', 'b) A can under Section 49 para 1', 'c) A cannot and will have to wait till X,Y become traceable', 'd) Z can be compelled only for one third']",0
"12. Delivery of goods by one person to another for some purpose upon a contract that they shall, when the purpose is accomplished, be returned or disposed of according to the directions of the person delivering them. This process is termed as","['a) Agency', 'b) Bailment', 'c) Guarantee', 'd) Contingency']",b,b) Bailment,1,a) Agency,0
"13. Section 14A inserted by the THE SPECIFIC RELIEF (AMENDMENT) ACT, 2018, relates to","['a) Power of the Courts to engage experts', 'b) Establishment of Special Court', 'c) Expeditious disposal of case', 'd) Specific performance with regard to contracts']",a,a) Power of the Courts to engage experts,1,(d) Specific performance with regard to contracts,0
14. Parliament may by law establish Administrative Tribunals under ------------------- of the Constitution,"['a) Article 323B', 'b) Article 323A', 'c) Article 233', 'd) Article 323']",b,Answer a) Article 323B,0,a) Article 323B,0
15. The Bar Council of India has to lay down the standards of professional conduct and etiquette for the Advocates under,"['a) Section 3 of the Advocate Act, 1961', 'b) Section 7 (1) (b) of the Advocate Act, 1961', 'c) Section 17 of the Advocate Act, 1961', 'd) Section 18 of the Advocate Act, 1961']",b,"Answer: b) Section 7 (1) (b) of the Advocate Act, 1961",1,"Answer: 'c) Section 17 of the Advocate Act, 1961'",0
